mpio;dptoc_mpio;nom_mpio;provincia;nom_dpto;;
001;05001;MEDELLIN;VALLE DEL ABURRA;ANTIOQUIA;;
002;05002;ABEJORRAL;ORIENTE;ANTIOQUIA;;
004;05004;ABRIAQUI;OCCIDENTE;ANTIOQUIA;;
021;05021;ALEJANDRIA;ORIENTE;ANTIOQUIA;;
030;05030;AMAGA;SUROESTE;ANTIOQUIA;;
031;05031;AMALFI;NORDESTE;ANTIOQUIA;;
034;05034;ANDES;SUROESTE;ANTIOQUIA;;
036;05036;ANGELOPOLIS;SUROESTE;ANTIOQUIA;;
038;05038;ANGOSTURA;NORTE;ANTIOQUIA;;
040;05040;ANORI;NORDESTE;ANTIOQUIA;;
042;05042;SANTAFE DE ANTIOQUIA;OCCIDENTE;ANTIOQUIA;;
044;05044;ANZA;OCCIDENTE;ANTIOQUIA;;
045;05045;APARTADO;URABA;ANTIOQUIA;;
051;05051;ARBOLETES;URABA;ANTIOQUIA;;
055;05055;ARGELIA;ORIENTE;ANTIOQUIA;;
059;05059;ARMENIA;OCCIDENTE;ANTIOQUIA;;
079;05079;BARBOSA;VALLE DEL ABURRA;ANTIOQUIA;;
086;05086;BELMIRA;NORTE;ANTIOQUIA;;
088;05088;BELLO;VALLE DEL ABURRA;ANTIOQUIA;;
091;05091;BETANIA;SUROESTE;ANTIOQUIA;;
093;05093;BETULIA;SUROESTE;ANTIOQUIA;;
101;05101;CIUDAD BOLIVAR;SUROESTE;ANTIOQUIA;;
107;05107;BRICEÑO;NORTE;ANTIOQUIA;;
113;05113;BURITICA;OCCIDENTE;ANTIOQUIA;;
120;05120;CACERES;BAJO CAUCA;ANTIOQUIA;;
125;05125;CAICEDO;SUROESTE;ANTIOQUIA;;
129;05129;CALDAS;VALLE DEL ABURRA;ANTIOQUIA;;
134;05134;CAMPAMENTO;NORTE;ANTIOQUIA;;
138;05138;CAÑASGORDAS;OCCIDENTE;ANTIOQUIA;;
142;05142;CARACOLI;MAGDALENA MEDIO;ANTIOQUIA;;
145;05145;CARAMANTA;SUROESTE;ANTIOQUIA;;
147;05147;CAREPA;URABA;ANTIOQUIA;;
148;05148;CARMEN DE VIBORAL;ORIENTE;ANTIOQUIA;;
150;05150;CAROLINA;NORTE;ANTIOQUIA;;
154;05154;CAUCASIA;BAJO CAUCA;ANTIOQUIA;;
172;05172;CHIGORODO;URABA;ANTIOQUIA;;
190;05190;CISNEROS;NORDESTE;ANTIOQUIA;;
197;05197;COCORNA;ORIENTE;ANTIOQUIA;;
206;05206;CONCEPCION;ORIENTE;ANTIOQUIA;;
209;05209;CONCORDIA;SUROESTE;ANTIOQUIA;;
212;05212;COPACABANA;VALLE DEL ABURRA;ANTIOQUIA;;
234;05234;DABEIBA;OCCIDENTE;ANTIOQUIA;;
237;05237;DON MATiAS;NORTE;ANTIOQUIA;;
240;05240;EBEJICO;OCCIDENTE;ANTIOQUIA;;
250;05250;EL BAGRE;BAJO CAUCA;ANTIOQUIA;;
264;05264;ENTRERRIOS;NORTE;ANTIOQUIA;;
266;05266;ENVIGADO;VALLE DEL ABURRA;ANTIOQUIA;;
282;05282;FREDONIA;SUROESTE;ANTIOQUIA;;
284;05284;FRONTINO;OCCIDENTE;ANTIOQUIA;;
