mpio;cod_mpio;nom_mpio;provincia;nom_dpto
1;5001;MEDELLÍN;VALLE DEL ABURRA;ANTIOQUIA
2;5002;ABEJORRAL;ORIENTE;ANTIOQUIA
4;5004;ABRIAQUÍ;OCCIDENTE;ANTIOQUIA
21;5021;ALEJANDRÍA;ORIENTE;ANTIOQUIA
30;5030;AMAGÁ;SUROESTE;ANTIOQUIA
31;5031;AMALFI;NORDESTE;ANTIOQUIA
34;5034;ANDES;SUROESTE;ANTIOQUIA
36;5036;ANGELOPOLIS;SUROESTE;ANTIOQUIA
38;5038;ANGOSTURA;NORTE;ANTIOQUIA
40;5040;ANORÍ;NORDESTE;ANTIOQUIA
42;5042;SANTAFÉ DE ANTIOQUIA;OCCIDENTE;ANTIOQUIA
44;5044;ANZA;OCCIDENTE;ANTIOQUIA
45;5045;APARTADÓ;URABA;ANTIOQUIA
51;5051;ARBOLETES;URABA;ANTIOQUIA
55;5055;ARGELIA;ORIENTE;ANTIOQUIA
59;5059;ARMENIA;OCCIDENTE;ANTIOQUIA
79;5079;BARBOSA;VALLE DEL ABURRA;ANTIOQUIA
86;5086;BELMIRA;NORTE;ANTIOQUIA
88;5088;BELLO;VALLE DEL ABURRA;ANTIOQUIA
91;5091;BETANIA;SUROESTE;ANTIOQUIA
93;5093;BETULIA;SUROESTE;ANTIOQUIA
101;5101;CIUDAD BOLÍVAR;SUROESTE;ANTIOQUIA
107;5107;BRICEÑO;NORTE;ANTIOQUIA
113;5113;BURITICÁ;OCCIDENTE;ANTIOQUIA
120;5120;CÁCERES;BAJO CAUCA;ANTIOQUIA
125;5125;CAICEDO;SUROESTE;ANTIOQUIA
129;5129;CALDAS;VALLE DEL ABURRA;ANTIOQUIA
134;5134;CAMPAMENTO;NORTE;ANTIOQUIA
138;5138;CAÑASGORDAS;OCCIDENTE;ANTIOQUIA
142;5142;CARACOLÍ;MAGDALENA MEDIO;ANTIOQUIA
145;5145;CARAMANTA;SUROESTE;ANTIOQUIA
147;5147;CAREPA;URABA;ANTIOQUIA
148;5148;CARMEN DE VIBORAL;ORIENTE;ANTIOQUIA
150;5150;CAROLINA;NORTE;ANTIOQUIA
154;5154;CAUCASIA;BAJO CAUCA;ANTIOQUIA
172;5172;CHIGORODÓ;URABA;ANTIOQUIA
190;5190;CISNEROS;NORDESTE;ANTIOQUIA
197;5197;COCORNÁ;ORIENTE;ANTIOQUIA
206;5206;CONCEPCIÓN;ORIENTE;ANTIOQUIA
209;5209;CONCORDIA;SUROESTE;ANTIOQUIA
212;5212;COPACABANA;VALLE DEL ABURRA;ANTIOQUIA
234;5234;DABEIBA;OCCIDENTE;ANTIOQUIA
237;5237;DON MATiAS;NORTE;ANTIOQUIA
240;5240;EBÉJICO;OCCIDENTE;ANTIOQUIA
250;5250;EL BAGRE;BAJO CAUCA;ANTIOQUIA
264;5264;ENTRERRIOS;NORTE;ANTIOQUIA
266;5266;ENVIGADO;VALLE DEL ABURRA;ANTIOQUIA
282;5282;FREDONIA;SUROESTE;ANTIOQUIA
284;5284;FRONTINO;OCCIDENTE;ANTIOQUIA
306;5306;GIRALDO;OCCIDENTE;ANTIOQUIA
308;5308;GIRARDOTA;VALLE DEL ABURRA;ANTIOQUIA
310;5310;GÓMEZ PLATA;NORTE;ANTIOQUIA
313;5313;GRANADA;ORIENTE;ANTIOQUIA
315;5315;GUADALUPE;NORTE;ANTIOQUIA
318;5318;GUARNE;ORIENTE;ANTIOQUIA
321;5321;GUATAPE;ORIENTE;ANTIOQUIA
347;5347;HELICONIA;OCCIDENTE;ANTIOQUIA
353;5353;HISPANIA;SUROESTE;ANTIOQUIA
360;5360;ITAGUI;VALLE DEL ABURRA;ANTIOQUIA
361;5361;ITUANGO;NORTE;ANTIOQUIA
364;5364;JARDÍN;SUROESTE;ANTIOQUIA
368;5368;JERICÓ;SUROESTE;ANTIOQUIA
376;5376;LA CEJA;ORIENTE;ANTIOQUIA
380;5380;LA ESTRELLA;VALLE DEL ABURRA;ANTIOQUIA
390;5390;LA PINTADA;SUROESTE;ANTIOQUIA
400;5400;LA UNIÓN;ORIENTE;ANTIOQUIA
411;5411;LIBORINA;OCCIDENTE;ANTIOQUIA
425;5425;MACEO;MAGDALENA MEDIO;ANTIOQUIA
440;5440;MARINILLA;ORIENTE;ANTIOQUIA
467;5467;MONTEBELLO;SUROESTE;ANTIOQUIA
475;5475;MURINDÓ;URABA;ANTIOQUIA
480;5480;MUTATA;URABA;ANTIOQUIA
483;5483;NARIÑO;ORIENTE;ANTIOQUIA
490;5490;NECOCLÍ;URABA;ANTIOQUIA
495;5495;NECHÍ;BAJO CAUCA;ANTIOQUIA
501;5501;OLAYA;OCCIDENTE;ANTIOQUIA
541;5541;PEÑOL;ORIENTE;ANTIOQUIA
543;5543;PEQUE;OCCIDENTE;ANTIOQUIA
576;5576;PUEBLORRICO;SUROESTE;ANTIOQUIA
579;5579;PUERTO BERRiO;MAGDALENA MEDIO;ANTIOQUIA
585;5585;PUERTO NARE;MAGDALENA MEDIO;ANTIOQUIA
591;5591;PUERTO TRIUNFO;MAGDALENA MEDIO;ANTIOQUIA
604;5604;REMEDIOS;NORDESTE;ANTIOQUIA
607;5607;RETIRO;ORIENTE;ANTIOQUIA
615;5615;RIONEGRO;ORIENTE;ANTIOQUIA
628;5628;SABANALARGA;OCCIDENTE;ANTIOQUIA
631;5631;SABANETA;VALLE DEL ABURRA;ANTIOQUIA
642;5642;SALGAR;SUROESTE;ANTIOQUIA
647;5647;SAN ANDRÉS;NORTE;ANTIOQUIA
649;5649;SAN CARLOS;ORIENTE;ANTIOQUIA
652;5652;SAN FRANCISCO;ORIENTE;ANTIOQUIA
656;5656;SAN JERÓNIMO;OCCIDENTE;ANTIOQUIA
658;5658;SAN JOSÉ DE LA MONTAÑA;NORTE;ANTIOQUIA
659;5659;SAN JUAN DE URABA;URABA;ANTIOQUIA
660;5660;SAN LUIS;ORIENTE;ANTIOQUIA
664;5664;SAN PEDRO;NORTE;ANTIOQUIA
665;5665;SAN PEDRO DE URABA;URABA;ANTIOQUIA
667;5667;SAN RAFAEL;ORIENTE;ANTIOQUIA
670;5670;SAN ROQUE;NORDESTE;ANTIOQUIA
674;5674;SAN VICENTE;ORIENTE;ANTIOQUIA
679;5679;SANTA BaRBARA;SUROESTE;ANTIOQUIA
686;5686;SANTA ROSA de osos;NORTE;ANTIOQUIA
690;5690;SANTO DOMINGO;NORDESTE;ANTIOQUIA
697;5697;SANTUARIO;ORIENTE;ANTIOQUIA
736;5736;SEGOVIA;NORDESTE;ANTIOQUIA
756;5756;SONSON;ORIENTE;ANTIOQUIA
761;5761;SOPETRaN;OCCIDENTE;ANTIOQUIA
